bloque,destruccion,adaptacion,enfriamiento,epsilonRVND,costoTotal,pctATiempo,tiempoComputoMs,rutasFactibles,rutasTotales,iteracionMejora
2026-01,-,-,-,-,714.00,100.00,4246,37,37,4.00
2026-01,-,-,-,+,714.00,100.00,4022,37,37,1.00
2026-01,-,-,+,-,714.00,100.00,4190,37,37,3.00
2026-01,-,-,+,+,714.00,100.00,4113,37,37,2.00
2026-01,-,+,-,-,714.00,100.00,4113,37,37,1.00
2026-01,-,+,-,+,714.00,100.00,4740,37,37,2.00
2026-01,-,+,+,-,714.00,100.00,4638,37,37,3.00
2026-01,-,+,+,+,714.00,100.00,5285,37,37,2.00
2026-01,+,-,-,-,714.00,100.00,8596,37,37,2.00
2026-01,+,-,-,+,714.00,100.00,8427,37,37,1.00
2026-01,+,-,+,-,714.00,100.00,7414,37,37,1.00
2026-01,+,-,+,+,714.00,100.00,7624,37,37,1.00
2026-01,+,+,-,-,714.00,100.00,8010,37,37,1.00
2026-01,+,+,-,+,714.00,100.00,7472,37,37,1.00
2026-01,+,+,+,-,714.00,100.00,7736,37,37,1.00
2026-01,+,+,+,+,714.00,100.00,7862,37,37,2.00
2027-05,-,-,-,-,4181.00,100.00,6095,37,37,11.00
2027-05,-,-,-,+,4113.00,100.00,5730,37,37,191.00
2027-05,-,-,+,-,3870.00,100.00,7008,37,37,273.00
2027-05,-,-,+,+,4235.00,100.00,8961,37,37,5.00
2027-05,-,+,-,-,4113.00,100.00,5940,37,37,198.00
2027-05,-,+,-,+,4121.00,100.00,6390,37,37,202.00
2027-05,-,+,+,-,4217.00,100.00,6367,37,37,45.00
2027-05,-,+,+,+,4076.00,100.00,6453,37,37,19.00
2027-05,+,-,-,-,3922.00,100.00,14112,37,37,100.00
2027-05,+,-,-,+,3951.00,100.00,13976,37,37,171.00
2027-05,+,-,+,-,3850.00,100.00,14345,37,37,261.00
2027-05,+,-,+,+,3972.00,100.00,13840,37,37,124.00
2027-05,+,+,-,-,3702.00,100.00,13459,37,37,273.00
2027-05,+,+,-,+,3951.00,100.00,14437,37,37,91.00
2027-05,+,+,+,-,3867.00,100.00,14232,37,37,296.00
2027-05,+,+,+,+,3763.00,100.00,14794,37,37,192.00
