bloque,poblacion,inercia,aceleracion,cruce,costoTotal,pctATiempo,tiempoComputoMs,rutasFactibles,rutasTotales,iteracionMejora
2026-01,-,-,-,-,10388.00,100.00,118,0,14,0.00
2026-01,-,-,-,+,10388.00,100.00,41,0,14,0.64
2026-01,-,-,+,-,10388.00,100.00,40,0,14,0.21
2026-01,-,-,+,+,10388.00,100.00,41,0,14,0.07
2026-01,-,+,-,-,10388.00,100.00,34,0,14,0.29
2026-01,-,+,-,+,10388.00,100.00,30,0,14,0.36
2026-01,-,+,+,-,10388.00,100.00,26,0,14,0.00
2026-01,-,+,+,+,10388.00,100.00,26,0,14,0.57
2026-01,+,-,-,-,10388.00,100.00,97,0,14,0.43
2026-01,+,-,-,+,10388.00,100.00,96,0,14,0.21
2026-01,+,-,+,-,10388.00,100.00,84,0,14,0.07
2026-01,+,-,+,+,10388.00,100.00,65,0,14,0.14
2026-01,+,+,-,-,10388.00,100.00,63,0,14,0.14
2026-01,+,+,-,+,10388.00,100.00,79,0,14,0.07
2026-01,+,+,+,-,10388.00,100.00,64,0,14,0.07
2026-01,+,+,+,+,10388.00,100.00,70,0,14,0.86
2027-05,-,-,-,-,22451.00,64.44,39,2,12,0.42
2027-05,-,-,-,+,22451.00,64.44,24,2,12,0.92
2027-05,-,-,+,-,22451.00,64.44,24,2,12,2.25
2027-05,-,-,+,+,22604.00,62.22,26,2,12,0.33
2027-05,-,+,-,-,22451.00,64.44,28,2,12,1.42
2027-05,-,+,-,+,22451.00,64.44,25,2,12,2.17
2027-05,-,+,+,-,22451.00,64.44,24,2,12,2.42
2027-05,-,+,+,+,22451.00,64.44,25,2,12,4.00
2027-05,+,-,-,-,22451.00,64.44,72,2,12,0.25
2027-05,+,-,-,+,22451.00,64.44,72,2,12,0.17
2027-05,+,-,+,-,22451.00,64.44,66,2,12,0.33
2027-05,+,-,+,+,22451.00,64.44,76,2,12,0.17
2027-05,+,+,-,-,22451.00,64.44,75,2,12,0.58
2027-05,+,+,-,+,22451.00,64.44,74,2,12,0.75
2027-05,+,+,+,-,22451.00,64.44,81,2,12,4.17
2027-05,+,+,+,+,22451.00,64.44,80,2,12,0.08
