bloque,poblacion,inercia,aceleracion,cruce,costoTotal,pctATiempo,tiempoComputoMs,rutasFactibles,rutasTotales,iteracionMejora
2026-01,-,-,-,-,7072.00,100.00,102,0,6,9.17
2026-01,-,-,-,+,7008.00,100.00,44,0,6,13.33
2026-01,-,-,+,-,7088.00,100.00,33,0,6,28.33
2026-01,-,-,+,+,7072.00,100.00,33,0,6,7.33
2026-01,-,+,-,-,7024.00,100.00,47,0,6,14.67
2026-01,-,+,-,+,7008.00,100.00,36,0,6,31.17
2026-01,-,+,+,-,7008.00,100.00,31,0,6,20.33
2026-01,-,+,+,+,7008.00,100.00,36,0,6,40.33
2026-01,+,-,-,-,7008.00,100.00,106,0,6,9.17
2026-01,+,-,-,+,7008.00,100.00,86,0,6,6.50
2026-01,+,-,+,-,7008.00,100.00,60,0,6,27.50
2026-01,+,-,+,+,7008.00,100.00,65,0,6,2.00
2026-01,+,+,-,-,7008.00,100.00,83,0,6,5.50
2026-01,+,+,-,+,7008.00,100.00,81,0,6,26.17
2026-01,+,+,+,-,7008.00,100.00,88,0,6,3.83
2026-01,+,+,+,+,7008.00,100.00,84,0,6,8.00
2027-05,-,-,-,-,26440.00,60.00,36,0,6,37.00
2027-05,-,-,-,+,26440.00,60.00,29,0,6,16.83
2027-05,-,-,+,-,26523.00,60.00,28,0,6,67.17
2027-05,-,-,+,+,26481.00,60.00,29,0,6,19.17
2027-05,-,+,-,-,26440.00,60.00,35,0,6,19.00
2027-05,-,+,-,+,26440.00,60.00,31,0,6,43.17
2027-05,-,+,+,-,26568.00,60.00,35,0,6,18.33
2027-05,-,+,+,+,26440.00,60.00,39,0,6,40.83
2027-05,+,-,-,-,26440.00,60.00,87,0,6,2.33
2027-05,+,-,-,+,26440.00,60.00,82,0,6,7.33
2027-05,+,-,+,-,26440.00,60.00,152,0,6,9.17
2027-05,+,-,+,+,26440.00,60.00,85,0,6,14.33
2027-05,+,+,-,-,26440.00,60.00,94,0,6,13.33
2027-05,+,+,-,+,26440.00,60.00,95,0,6,18.17
2027-05,+,+,+,-,26440.00,60.00,118,0,6,20.83
2027-05,+,+,+,+,26440.00,60.00,122,0,6,45.00
