bloque,tratamiento,costoTotal,pctATiempo,tiempoComputoMs,rutasFactibles,rutasTotales,iteracionMejora
2026-01,ALNS,714.00,100.00,2642,37,37,1.00
2026-01,IPSO,10388.00,100.00,110,0,14,0.14
2026-05,ALNS,3653.00,100.00,6790,37,37,22.00
2026-05,IPSO,10940.00,95.35,68,2,14,0.43
2026-09,ALNS,4730.00,100.00,1059,37,37,15.00
2026-09,IPSO,10822.00,91.11,77,2,9,0.89
2027-01,ALNS,4359.00,100.00,1822,37,37,6.00
2027-01,IPSO,15284.00,77.78,58,2,10,0.20
2027-05,ALNS,3867.00,100.00,10229,37,37,99.00
2027-05,IPSO,22451.00,64.44,47,2,12,0.25
2027-09,ALNS,3742.00,100.00,4762,37,37,154.00
2027-09,IPSO,16156.00,80.00,50,4,10,0.80
2028-01,ALNS,3476.00,100.00,14163,37,37,279.00
2028-01,IPSO,27652.00,65.91,67,5,13,1.00
2028-05,ALNS,4666.00,100.00,4238,37,37,52.00
2028-05,IPSO,13465.00,88.89,65,3,10,4.00
